Page	Section_number	Section_name	Order	User	Timestamp	Content
https://meta.wikimedia.org/wiki/Talk:List_of_articles_every_Wikipedia_should_have	0	 Going to make some changes 	0	MJL	06:09, 28 January 2020 (UTC)	"Explanation: The goal of this list is to ensure small Wikipedias have a good mix of important content to start off with. Bolded items should best reflect the category of article they are in and not primarily be known for other reasons. It also should not be too West-centric.

Unless someone pings me with an objection in the next few days, I am going to make the following changes to this list:
 Unbolding:
 Christopher Columbus
 Alan Turing
 Thomas Edison
 Moses
 Money
 International Red Cross and Red Crescent Movement
 British Empire
 Capital punishment
 Toy
 Vladimir Lenin
 Hinduism

 Bolding:
 Akira Kurosawa
 Muhammad ibn Musa al-Khwarizmi
 Mohandas Karamchand Gandhi
 Abraham
 Currency
 Fruit
 Delhi
 Mecca
 Chess
 Che Guevara
 Spanish

 Adding:
 Shaka
 Ayn Rand

 Removing:
 Franklin D. Roosevelt
 Jean-Paul Sartre

Kindest Regards, –"
https://meta.wikimedia.org/wiki/Talk:List_of_articles_every_Wikipedia_should_have	0	 Going to make some changes 	1	Nicolas Eynaud	08:07, 6 February 2020 (UTC)	"Edited: 06:26, 28 January 2020 (UTC)
  About the changes, Franklin D. Roosevelt is one of the most important president in the history of US. Shaka is an important king in Africa but it is not more important than others African kings of the period (Usman dan Fodio, Omar Saidou Tall...). Regarding Ayn Rand, she's an infuential essayist in the US but her theory (laissez-faire, importance of individual rights...) was better described by others philosophers or economists. And Sartre developped original theories (existentialism...) was a key figure of the philosophy of the 20th century. Best regards, --"
https://meta.wikimedia.org/wiki/Talk:List_of_articles_every_Wikipedia_should_have	0	 Going to make some changes 	2	Nicolas Eynaud	08:13, 6 February 2020 (UTC)	 About bolding/unbolding changes, I think some propositions are very strange. For exemple, Guereva is an important figure but it's hard to considere him more important than Lenin. And it's the same with Money/Currency, Toy/Chess, Hinduism/Spanish, Christopher Columbus/Akira Kurosawa... Best regards, --
https://meta.wikimedia.org/wiki/Talk:List_of_articles_every_Wikipedia_should_have	0	 Going to make some changes 	3	Yerpo	10:12, 6 February 2020 (UTC)	I oppose the unargumented additions and removals. —
https://meta.wikimedia.org/wiki/Talk:List_of_articles_every_Wikipedia_should_have	0	 Going to make some changes 	4	GuzzyG	19:28, 9 February 2020 (UTC)	"Disagree on most of the bolds/unbolds. Strongly disagree on the removal of Roosevelt/Sartre. Shaka would be a good add, and despite the suggestion that Fodio and Tall are equal in prominence (they're not, he's clearly the most prominent pre-modern age African leader, with only Musa I of Mali coming close). Either way we should have atleast one of the pre-modern age African leaders listed, he is arguably more important than Guevara who doesn't stack up to Fidel Castro and i'd even list Toussaint Louverture over both Guevera or Castro as his impact had more of a revolutionary impact on the world than small island Cuba. Guevara and Castro have to compete with Ho Chi Minh too in 20th century revolutionary prominence, so Guevara would be the weakest entry point for a pre-modern age African figure like Shaka. But we don't list African cultural figures like Fela Kuti or Chinua Achebe, and we don't cover ANY ancient pharaoh like Ramesses II, which would be a better add than Shaka anyway, but both would fit. (yes i know, Naguib Mahfouz is listed but considering we list Abu Nuwas, i'd prefer a swap of Mahfouz with Achebe). 

Now Ayn Rand would only be vital as a writer, her philosophical achievements would be below many other social scientists. But we don't have ANY women writers, which is a BIG miss, Sappho, Murasaki Shikibu, Jane Austen, Mary Wollstonecraft, Agatha Christie, Virginia Woolf, Selma Lagerlöf, Emily Dickinson, George Eliot or Mary Shelley would all come before Rand and atleast one should be listed.

Here are my other suggestions that could be good additions in my opinion, to add to the spirit of this thread

1. Marlene Dietrich could be swapped for Anna Pavlova, since we already list two other actresses and Pavlova covers a more underrepresented field (dance) and Ballet has a longer European art history than German film (two American actresses would be too much, so i assume she's listed for her German work). Maria Callas would be the other choice for a older European artform like artistic singing/opera to be covered among popular singers, while increasing women.  Or even adding Coco Chanel, for another undercovered area.  
2. Wright brothers, Cai Lun, Nicéphore Niépce, Alexander Graham Bell, Auguste and Louis Lumière, Alessandro Volta all could have a place and also Hippocrates or Andreas Vesalius, since medicine is a vital field and we could do with another other than Pasteur. Fibonacci, Ptolemy and Francis Bacon would be good too.
3. Japan's a vital enough country to list a political leader like Hirohito (especially if we have De Gaulle) , Emperor Meiji or Oda Nobunaga
4. William the Conqueror should be listed
5. Henrik Ibsen/Brothers Grimm could be another add - Ibsen is more important than Hans Christian Andersen
6. one of the Beatles/Louis Armstrong/Elvis/Édith Piaf should be bold instead of Stravinsky, so atleast one non classical composer is bolded. One person from directors/screenwriters/actors should be bolded too, probably Chaplin or Kurosawa or Hitchcock. 
7. Bruce Lee and Pelé represent culture figures that are non European/American and would be a good counter. Someone like Bruce Lee holds as much weight in Asia itself as Marilyn Monroe does America. Pele is alive and i get that we probably shouldn't list alive people, but he'd be our one South American culture figure and arguably soccer has just as much of a impact around the world as major form of arts like  American film, of which we list 7 representatives. 
8. Peter Paul Rubens should be swapped for Claude Monet, who had much more of a impact on modern art than Rubens, if we had to list a Flemish artist i'd prefer Jan van Eyck over Rubens for time period diversity. 
9. I don't see why we should have Al-Ghazali over Ali and i don't see why we need too Buddhists and i would remove Nagarjuna for Maimonides. 
10. Amelia Earhart could be a good add to add women to explorers and to cover aviators. Florence Nightingale would be a another good add. Emmeline Pankhurst wouldn't be out of place with MLK listed.

Anyway just thought i'd offer my thoughts as a outside observer, i disagree with most of these proposed edits and offered up some of my own people who could be decent picks on the list, thanks."
https://meta.wikimedia.org/wiki/Talk:List_of_articles_every_Wikipedia_should_have	0	 Going to make some changes 	5	Thi	14:46, 10 February 2020 (UTC)	The number of biographies (204) is too high. In my opinion for example Matisse, Rubens, Velázquez, Warhol, Dvořák, Cartier, Dietrich, Spielberg, Berners-Lee, Joule, Chomsky, Che and Hegel can be removed. I can support adding Ramses, Sappho, Murasaki Shikibu (Genji is currently listed), Jane Austen, Hippocrates, Louis Pasteur or Claude Monet. I don't think that the list needs any dancer, opera singer or aviator. --
https://meta.wikimedia.org/wiki/Talk:List_of_articles_every_Wikipedia_should_have	0	 Going to make some changes 	6	MJL	00:04, 11 February 2020 (UTC)	"  I would support al these remivals which yku suggested. But as for additions, for now I can support just Pastoue as number of biograpbies should be much lower. 12:16, 10 February 2021 (UTC)
Reasoning behind removing Roosevelt.  Of the 39 political leaders, 4 are United States Presidents and 5 are WW2-era World Leaders. FDR sits at the intersection of both groups, and I'm sorry but the point of this list is not to find the most impactful leaders but to provide a variety of coverage. Replacing him with Shaka only makes logical sense as he is one of the most famous African leaders in history (Nelson Mandela is pretty lonely).Removal of Jean-Paul Sartre. To be honest, I don't care how it happens, but have way to many French philosophers on that list, and somehow do not have a single woman. If I suggested we axe Voltaire, people would've rioted. If I suggested we axe Descartes, the people would have rioted. If I suggested Rousseau or Beauvoir... same thing. The French don't have a monopoly on philosophy, and I picked the most well known woman philosopher I could think of.Boldings. Besides maybe Guevara, no one has articulated any actual reasoning behind disagreeing with my proposed boldings. I clearly state at the beginning that the list should reflect a diversity of content which adequately reflects the archetypes of each list not what is or is not the most ""important"" of the list. That's why I would prefer we have Che Guevara over Fidel Castro; we already have too many dictators on the list and not enough revolutionaries. I hope what I am saying makes more sense in context. –"
https://meta.wikimedia.org/wiki/Talk:List_of_articles_every_Wikipedia_should_have	0	 Going to make some changes 	7	Yerpo	08:16, 12 February 2020 (UTC)	"No offense, , but your reasoning on replacing Sartre makes no sense at all. Only four out of 26 listed ""philosophers and social scientists"" are French, one of them even a woman - and if I understand your commment right, you'd be ok with removing her to make place for Rand. —"
https://meta.wikimedia.org/wiki/Talk:List_of_articles_every_Wikipedia_should_have	0	 Going to make some changes 	8	MJL	15:11, 12 February 2020 (UTC)	 You are right. I did not notice there was a woman French philosopher in the list. I'm striking my previous suggestions on the matter. –
https://meta.wikimedia.org/wiki/Talk:List_of_articles_every_Wikipedia_should_have	1	 Cynnig i ddiddymu'r prosiect 	0	AlwynapHuw	04:03, 6 May 2021 (UTC)	"Po fwyaf rwy'n gweld sut mae'r ""cystadleuaeth"" yma'n gweithio, po fwyaf rwy'n credu dylai cael ei ddiddymu. Rwyf wedi ehangu saith erthygl o ddiffiniad y prosiect o ""egin"" i ""erthygl hir"" yn ystod y cyfnod 5 Ebrill - 5 Mai, mae eraill wedi cyfrannu'n helaeth hefyd. Er hynny mae'r Gymraeg wedi codi un safle'n uwch yn y gynghrair ers 5 Ebrill, ac mae ein cyfartaledd beit yr erthygl wedi ei ostwng o ychydig dros 3,000 i ychydig dros 2,000. Mis yn ôl roedd pob un erthygl yno, bellach rydym yn brin o un. Yn ystod y ddeufis diwethaf mae chwe erthygl wedi eu diddymu a chwe erthygl newydd wedi cymryd eu lle. Mae'r prosiect yn honni ei fod yn ""gymorth"" i wiciau mewn ieithoedd llai eu defnydd, ond y gwir yw, o wylio tudalen sgwrs y prosiect, mae ""pwysigrwydd"" erthyglau yn cael ei farnu yn bennaf, gan bobl Saesneg eu hiaith, nid gan siaradwyr ieithoedd llai eu defnydd. Rwy'n cytuno bod angen erthyglau gwell am sawl un sy'n cael eu crybwyll gan y prosiect ar y Wici Cymraeg, ond o ddilyn ei awgrymiadau ""nhw"" byddwn wrthi hyd Sul y Pys yn dilyn eu newidiadau parhaus o be sy'n bwysig, yn hytrach na chreu erthyglau sy'n bwysig i ni! Pam bod erthygl hirfaith am Umm Kulthum yn cael ei hystyried yn bwysicach nag un am Rhiannon Tomos, neu erthygl hir am Charles Dickens yn bwysicach nag un hirfaith am Kate Roberts neu Daniel Owen ar y safle Cymraeg o herwydd bod Sais neu Americanwr wedi gwneud dyfarniad? Nid prosiect am wella wiciau ieithoedd llai eu defnydd mo hyn ond prosiect i'w coloneiddio."
